BASE_DATE,SIGUNGU_CD,SIGUNGU_NM,SIGUNGU_FNM,AREA,PERIMETER,CODE_DC,SOILDRA
20240630,41590,화성시,경기도 화성시,83876500.00000000000,693585.00000000000,2,양호
20240630,41610,광주시,경기도 광주시,165170000.00000000000,793383.00000000000,1,매우양호
20240630,41630,양주시,경기도 양주시,71857600.00000000000,220199.00000000000,1,매우양호
20240630,41650,포천시,경기도 포천시,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,41670,여주시,경기도 여주시,109986000.00000000000,650884.00000000000,1,매우양호
20240630,41800,연천군,경기도 연천군,108039000.00000000000,369420.00000000000,1,매우양호
20240630,41820,가평군,경기도 가평군,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,41830,양평군,경기도 양평군,842238000.00000000000,4246840.00000000000,1,매우양호
20240630,51110,춘천시,강원특별자치도 춘천시,171853000.00000000000,818648.00000000000,1,매우양호
20240630,51130,원주시,강원특별자치도 원주시,1445190000.00000000000,7288490.00000000000,1,매우양호
20240630,51150,강릉시,강원특별자치도 강릉시,354332000.00000000000,1058720.00000000000,1,매우양호
20240630,51170,동해시,강원특별자치도 동해시,354332000.00000000000,1058720.00000000000,1,매우양호
20240630,51190,태백시,강원특별자치도 태백시,53048800.00000000000,172413.00000000000,2,양호
20240630,51210,속초시,강원특별자치도 속초시,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,51230,삼척시,강원특별자치도 삼척시,269758000.00000000000,954733.00000000000,1,매우양호
20240630,51720,홍천군,강원특별자치도 홍천군,842238000.00000000000,4246840.00000000000,1,매우양호
20240630,51730,횡성군,강원특별자치도 횡성군,1445190000.00000000000,7288490.00000000000,1,매우양호
20240630,51750,영월군,강원특별자치도 영월군,340305000.00000000000,556425.00000000000,1,매우양호
20240630,51760,평창군,강원특별자치도 평창군,313828000.00000000000,846684.00000000000,1,매우양호
20240630,51770,정선군,강원특별자치도 정선군,313828000.00000000000,846684.00000000000,1,매우양호
20240630,51780,철원군,강원특별자치도 철원군,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,51790,화천군,강원특별자치도 화천군,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,51800,양구군,강원특별자치도 양구군,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,51810,인제군,강원특별자치도 인제군,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,51820,고성군,강원특별자치도 고성군,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,51830,양양군,강원특별자치도 양양군,3679320000.00000000000,10497900.00000000000,1,매우양호
20240630,43130,충주시,충청북도 충주시,1445190000.00000000000,7288490.00000000000,1,매우양호
20240630,11110,종로구,서울특별시 종로구,89383900.00000000000,215908.00000000000,1,매우양호
20240630,11140,중구,서울특별시 중구,14063700.00000000000,43797.20000000000,2,양호
20240630,11170,용산구,서울특별시 용산구,16082100.00000000000,72537.89999999999,4,약간불량
20240630,11200,성동구,서울특별시 성동구,14063700.00000000000,43797.20000000000,2,양호
20240630,11215,광진구,서울특별시 광진구,31891800.00000000000,189323.00000000000,2,양호
20240630,43150,제천시,충청북도 제천시,1445190000.00000000000,7288490.00000000000,1,매우양호
20240630,43111,청주시 상당구,충청북도 청주시 상당구,132411000.00000000000,644411.00000000000,2,양호
20240630,43112,청주시 서원구,충청북도 청주시 서원구,27143000.00000000000,270959.00000000000,1,매우양호
20240630,43113,청주시 흥덕구,충청북도 청주시 흥덕구,27078800.00000000000,158145.00000000000,1,매우양호
20240630,43114,청주시 청원구,충청북도 청주시 청원구,43794000.00000000000,408469.00000000000,1,매우양호
20240630,43720,보은군,충청북도 보은군,790238000.00000000000,3067640.00000000000,1,매우양호
20240630,43730,옥천군,충청북도 옥천군,104477000.00000000000,714217.00000000000,1,매우양호
20240630,43740,영동군,충청북도 영동군,355260000.00000000000,2589600.00000000000,1,매우양호
20240630,43750,진천군,충청북도 진천군,282741000.00000000000,1539230.00000000000,1,매우양호
20240630,43760,괴산군,충청북도 괴산군,790238000.00000000000,3067640.00000000000,1,매우양호
20240630,43770,음성군,충청북도 음성군,45829400.00000000000,218033.00000000000,1,매우양호
20240630,43800,단양군,충청북도 단양군,1355650000.00000000000,6899290.00000000000,1,매우양호
20240630,43745,증평군,충청북도 증평군,104436000.00000000000,720614.00000000000,1,매우양호
20240630,44131,천안시 동남구,충청남도 천안시 동남구,54672600.00000000000,263717.00000000000,2,양호
20240630,44133,천안시 서북구,충청남도 천안시 서북구,282741000.00000000000,1539230.00000000000,1,매우양호
20240630,44150,공주시,충청남도 공주시,324867000.00000000000,1481140.00000000000,2,양호
20240630,44180,보령시,충청남도 보령시,102700000.00000000000,363110.00000000000,1,매우양호
20240630,44200,아산시,충청남도 아산시,79631700.00000000000,742850.00000000000,2,양호
20240630,44210,서산시,충청남도 서산시,131320000.00000000000,774010.00000000000,2,양호
20240630,44230,논산시,충청남도 논산시,102221000.00000000000,573461.00000000000,4,약간불량
20240630,44250,계룡시,충청남도 계룡시,59004700.00000000000,318934.00000000000,1,매우양호
20240630,44270,당진시,충청남도 당진시,246216000.00000000000,1632390.00000000000,2,양호
20240630,44710,금산군,충청남도 금산군,143375000.00000000000,705027.00000000000,2,양호
20240630,44760,부여군,충청남도 부여군,129997000.00000000000,602436.00000000000,2,양호
20240630,44770,서천군,충청남도 서천군,40930300.00000000000,345071.00000000000,2,양호
20240630,44790,청양군,충청남도 청양군,78181200.00000000000,513573.00000000000,1,매우양호
20240630,44800,홍성군,충청남도 홍성군,53246200.00000000000,389225.00000000000,2,양호
20240630,44810,예산군,충청남도 예산군,48150800.00000000000,334474.00000000000,1,매우양호
20240630,44825,태안군,충청남도 태안군,141276000.00000000000,1034150.00000000000,2,양호
20240630,52111,전주시 완산구,전북특별자치도 전주시 완산구,970630000.00000000000,5825980.00000000000,1,매우양호
20240630,52113,전주시 덕진구,전북특별자치도 전주시 덕진구,165234000.00000000000,581540.00000000000,4,약간불량
20240630,52130,군산시,전북특별자치도 군산시,94669600.00000000000,872337.00000000000,2,양호
20240630,52140,익산시,전북특별자치도 익산시,165234000.00000000000,581540.00000000000,4,약간불량
20240630,52180,정읍시,전북특별자치도 정읍시,305201000.00000000000,1627820.00000000000,1,매우양호
20240630,52190,남원시,전북특별자치도 남원시,613449000.00000000000,3071550.00000000000,1,매우양호
